Languages	EFGIS							
								
Screen	PHRASE TABLE	SPACE	E	F	G	I	S	NOTES
INGAME	MISSION_FAILED_PLAYER_OUT_OF_VEHICLE_HINT4		Hint : Stay in your vehicle.	Conseil : restez dans le véhicule	Tipp: Bleib im Fahrzeug.	???	Pista: quédate en tu vehículo.	
INGAME	MISSION_FAILED_PLAYER_OUT_OF_VEHICLE_HINT5		Hint : Return to your vehicle within 10 seconds.	Conseil : retournez dans votre véhicule en moins de 10 secondes.	Tipp: Kehr innerhalb von zehn Sekunden in dein Fahrzeug zurück.	???	Pista: vuelve a tu vehículo en 10 segundos.	
INGAME	MISSION_FAILED_PLAYER_OUT_OF_VEHICLE_HINT6		Hint : Don't get out of your vehicle.	Conseil : ne sortez pas du véhicule.	Tipp: Steig nicht aus deinem Fahrzeug.	???	Pista: no te bajes de tu vehículo.	
INGAME	MISSION_FAILED_PLAYER_OUT_OF_VEHICLE_HINT7		Hint : You only have 10 seconds to get back in your vehicle.	Conseil : vous n'avez que 10 secondes pour retourner au véhicule.	"Tipp: Du hast nur zehn Sekunden, um in dein Fahrzeug zurückzukehren."	???	Pista: sólo tienes 10 segundos para volver a subirte a tu vehículo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE		Failed to follow vehicle.	Ne réussit pas à suivre le véhicule	Fahrzeug-Verfolgung fehlgeschlagen.	???	No has conseguido seguir al vehículo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT0		Hint : Explore the level before attempting this mission.	Conseil : explorez le niveau avant de tenter la mission.	"Tipp: Erforsch das Level, bevor du diese Mission probierst."	???	Pista: explora el nivel antes de intentar esta misión.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT1		Hint : Look for Krusty Glass to find short-cuts.	Conseil : cherchez le verre de Krusty pour trouver les raccourcis.	"Tipp: Halte nach der Krusty-Glaswand Ausschau, um Abkürzungen zu finden."	???	Pista: busca a Krusty Glass para encontrar atajos.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT2		Hint : Keep the vehicle you are following in sight.	Conseil : gardez le véhicule que vous suivez en vue.	Tipp: Halte Blickkontakt zum verfolgten Fahrzeug.	???	Pista: no pierdas de vista el vehículo que estás siguiendo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT3		Hint : Remain a short distance behind the vehicle you are following.	Conseil : ne vous éloignez pas trop du véhicule suivi.	"Tipp: Bleib ein kurzes Stück hinter dem Fahrzeug, dem du folgst."	???	Pista: no te separes del vehículo que estás siguiendo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT4		Hint : Use short-cuts to catch up to the vehicle you are following.	Conseil : utilisez des raccourcis pour rattraper le véhicule suivi.	"Tipp: Benutz Abkürzungen, um das Fahrzeug einzuholen, dem du folgst."	???	Pista: usa atajos para alcanzar al vehículo que estás siguiendo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT5		Hint : Try to match the speed of the vehicle you are following.	Conseil : essayez de rouler à la même vitesse que le véhicule cible	"Tipp: Pass deine Geschwindigkeit dem Fahrzeug an, dem du folgst."	???	Pista: intenta igualar la velocidad del vehículo que estás siguiendo.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT6		Hint : Collect coins to purchase a different vehicle.	Conseil : trouvez des pièces pour acheter une meilleure voiture	"Tipp: Sammle Münzen, um dir ein anderes Fahrzeug zu kaufen."	???	Pista: reúne monedas para comprarte un vehículo diferente.	
INGAME	MISSION_FAILED_FOLLOW_DISTANCE_HINT7		Hint : Maintain control by using the E-brake to powerslide around corners.	Conseil : gardez le contrôle du véhicule en utilisant le frein à main pour effectuer des glissades dans les virages.	"Tipp: Behalte die Kontrolle, indem du die Handbremse gebrauchst, um durch Kurven zu driften."	???	Pista: mantén el control de tu vehículo usando el freno de mano para deslizarte en las curvas.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS		Out of bounds.	Hors limites	Außerhalb der Strecke.	???	Fuera de los límites.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT0		Hint : Keep control of your vehicle.	Conseil : gardez le contrôle du véhicule	Tipp: Behalte dein Fahrzeug unter Kontrolle.	???	Pista: controla tu vehículo.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT1		Hint : Drive more carefully.	Conseil : soyez plus prudent	Tipp: Fahr vorsichtiger.	???	Pista: conduce con más cuidado.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT2		Hint : Use the brakes to control your speed.	Conseil : utilisez les freins	"Tipp: Brems, um dein Tempo zu kontrollieren."	???	Pista: utiliza los frenos para controlar la velocidad.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT3		Hint : Keep control of your vehicle.	Conseil : gardez le contrôle du véhicule	Tipp: Behalte dein Fahrzeug unter Kontrolle.	???	Pista: controla tu vehículo.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT4		Hint : Use the hand brake to corner better.	Conseil : utilisez le frein à main pour mieux prendre les virages.	"Tipp: Benutz die Handbremse, um die Kurven besser zu nehmen."	???	Pista: utiliza el freno de mano para coger mejor las curvas.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT5		Hint : Look ahead for upcoming hazards.	Conseil : repérez les dangers de loin	Tipp: Achte auf Gefahren vor dir.	???	Pista: estate pendiente de los peligros que te acechan.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT6		Hint : Use the brakes to control your speed.	Conseil : gardez le contrôle de la vitesse en freinant.	"Tipp: Brems, um dein Tempo zu kontrollieren."	???	Pista: utiliza los frenos para controlar la velocidad.	
INGAME	MISSION_FAILED_OUT_OF_BOUNDS_HINT7		Hint : Look ahead for upcoming hazards.	Conseil : repérez les dangers de loin	Tipp: Achte auf Gefahren vor dir.	???	Pista: estate pendiente de los peligros que te acechan.	
INGAME	MISSION_FAILED_RACE		You lost the race.	Vous avez perdu la course.	Du hast das Rennen verloren!	???	Has perdido la carrera.	
INGAME	MISSION_FAILED_RACE_HINT0		Hint : Maintain control by using the E-brake to powerslide around corners.	Conseil : gardez le contrôle du véhicule en utilisant le frein à main pour effectuer des glissades dans les virages.	"Tipp: Behalte die Kontrolle, indem du die Handbremse gebrauchst, um durch Kurven zu driften."	???	Pista: mantén el control de tu vehículo usando el freno de mano para deslizarte en las curvas.	
INGAME	MISSION_FAILED_RACE_HINT1		Hint : Explore the map to learn the race route and find short-cuts.	Conseil : explorez la carte pour apprendre la meilleure trajectoire et trouver les raccourcis.	"Tipp: Schau dir die Karte gut an, um dir die Rennstrecke einzuprägen und Abkürzungen zu finden."	???	Pista: consulta el mapa para conocer el trayecto de la carrera y encontrar atajos.	
INGAME	MISSION_FAILED_RACE_HINT2		Hint : Force other cars off the road or into large objects.	Conseil : poussez les autres voitures hors de la route ou vers de gros objets.	Tipp: Dräng andere Fahrzeuge von der Straße oder gegen große Objekte.	???	Pista: obliga a otros coches a salirse de la carretera.	
INGAME	MISSION_FAILED_RACE_HINT3		Hint : Look for Krusty Glass to find short-cuts.	Conseil : cherchez le verre de Krusty pour trouver les raccourcis.	"Tipp: Halte nach der Krusty-Glaswand Ausschau, um Abkürzungen zu finden."	???	Pista: busca a Krusty Glass para encontrar atajos.	
INGAME	MISSION_FAILED_RACE_HINT4		Hint : Look between buildings for short-cuts.	Conseil : regardez entre les bâtiments pour trouver des raccourcis.	Tipp: Such zwischen Gebäuden nach Abkürzungen.	???	Pista: mira entre los edificios para encontrar atajos.	
INGAME	MISSION_FAILED_RACE_HINT5		Hint : Cut corners to save time.	Conseil : coupez les virages pour gagner du temps	Tipp: Das Schneiden von Kurven spart Zeit.	???	Pista: corta las curvas para ahorrar tiempo.	
INGAME	MISSION_FAILED_RACE_HINT6		Hint : Complete all street races to earn a different vehicle.	Conseil : terminez toutes les courses de rue pour gagner un autre véhicule	"Tipp: Absolvier alle Straßenrennen, um ein anderes Auto zu bekommen."	???	Pista: completa todas las carreras callejeras para ganarte un vehículo diferente.	
INGAME	MISSION_FAILED_RACE_HINT7		Hint : Collect coins to purchase a different vehicle.	Conseil : trouvez des pièces pour acheter une autre voiture	"Tipp: Sammle Münzen, um dir ein anderes Fahrzeug zu kaufen."	???	Pista: reúne monedas para comprarte un vehículo diferente.	
INGAME	MISSION_FAILED_NOT_ABDUCTED		Failed to get out of car.	Vous n'êtes pas sorti de la voiture.	Nicht ausgestiegen.	???	No has conseguido bajar del coche.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT0		Hint : Don't forget to jump out of your vehicle.	Conseil : n'oubliez pas de sauter hors du véhicule.	"Tipp: Nicht vergessen, aus dem Fahrzeug zu steigen."	???	Pista: no te olvides de saltar de tu vehículo.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT1		Hint : Jump out of your vehicle before reaching the Mother Ship.	Conseil : sautez du véhicule avant d'atteindre le vaisseau-mère.	"Tipp: Steig aus deinem Fahrzeug, bevor du das Mutterschiff erreichst."	???	Pista: salta de tu vehículo antes de llegar a la nave nodriza.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT2		Hint : Jump out of your vehicle while in the tractor beam.	Conseil : sautez du véhicule quand il est pris dans le faisceau tracteur.	"Tipp: Steig aus deinem Fahrzeug, solange es sich im Traktorstrahl befindet."	???	Pista: salta de tu vehículo cuando estés en el rayo de tracción.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT3		Hint : Remember to jump out of your vehicle.	Conseil : n'oubliez pas de sauter hors du véhicule.	"Tipp: Denk dran, aus dem Fahrzeug zu steigen."	???	Pista: recuerda saltar de tu vehículo.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT4		Hint : Don't forget to jump out of your vehicle.	Conseil : n'oubliez pas de sauter hors du véhicule.	"Tipp: Nicht vergessen, aus dem Fahrzeug zu steigen."	???	Pista: no te olvides de saltar de tu vehículo.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT5		Hint : Jump out of your vehicle before reaching the Mother Ship.	Conseil : sautez du véhicule avant d'atteindre le vaisseau-mère.	"Tipp: Steig aus deinem Fahrzeug, bevor du das Mutterschiff erreichst."	???	Pista: salta de tu vehículo antes de llegar a la nave nodriza.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT6		Hint : Jump out of your vehicle while in the tractor beam.	Conseil : sautez du véhicule quand il est pris dans le faisceau tracteur.	"Tipp: Steig aus deinem Fahrzeug, solange es sich im Traktorstrahl befindet."	???	Pista: salta de tu vehículo cuando estés en el rayo de tracción.	
INGAME	MISSION_FAILED_NOT_ABDUCTED_HINT7		Hint : Remember to jump out of your vehicle.	Conseil : n'oubliez pas de sauter hors du véhicule.	"Tipp: Denk dran, aus dem Fahrzeug zu steigen."	???	Pista: recuerda saltar de tu vehículo.	
INGAME	MISSION_FAILED_POSITION		You lost the race.	Vous avez perdu la course.	Du hast das Rennen verloren!	???	Has perdido la carrera.	
INGAME	MISSION_FAILED_POSITION_HINT0		Hint : Maintain control by using the E-brake to powerslide around corners.	Conseil : gardez le contrôle du véhicule en utilisant le frein à main pour effectuer des glissades dans les virages.	"Tipp: Behalte die Kontrolle, indem du die Handbremse gebrauchst, um durch Kurven zu driften."	???	Pista: mantén el control de tu vehículo usando el freno de mano para deslizarte en las curvas.	
INGAME	MISSION_FAILED_POSITION_HINT1		Hint : Explore the map to learn the race route and find short-cuts.	Conseil : explorez la carte pour apprendre la meilleure trajectoire et trouver les raccourcis.	"Tipp: Schau dir die Karte gut an, um dir die Rennstrecke einzuprägen und Abkürzungen zu finden."	???	Pista: consulta el mapa para conocer el trayecto de la carrera y encontrar atajos.	
INGAME	MISSION_FAILED_POSITION_HINT2		Hint : Force other cars off the road or into large objects.	Conseil : poussez les autres voitures hors de la route ou vers de gros objets.	Tipp: Dräng andere Fahrzeuge von der Straße oder gegen große Objekte.	???	Pista: obliga a otros coches a salirse de la carretera	
INGAME	MISSION_FAILED_POSITION_HINT3		Hint : Look for Krusty Glass to find short-cuts.	Conseil : cherchez le verre de Krusty pour trouver les raccourcis.	"Tipp: Halte nach der Krusty-Glaswand Ausschau, um Abkürzungen zu finden."	???	Pista: busca a Krusty Glass para encontrar atajos.	
INGAME	MISSION_FAILED_POSITION_HINT4		Hint : Look between buildings for short-cuts.	Conseil : regardez entre les bâtiments pour trouver des raccourcis.	Tipp: Such zwischen Gebäuden nach Abkürzungen.	???	Pista: mira entre los edificios para encontrar atajos.	
INGAME	MISSION_FAILED_POSITION_HINT5		Hint : Cut corners to save time.	Conseil : coupez les virages pour gagner du temps	Tipp: Das Schneiden von Kurven spart Zeit.	???	Pista: corta las curvas para ahorrar tiempo.	
INGAME	MISSION_FAILED_POSITION_HINT6		Hint : Complete all street races to earn a different vehicle.	Conseil : terminez toutes les courses de rue pour gagner un autre véhicule.	"Tipp: Absolvier alle Straßenrennen, um ein anderes Auto zu bekommen."	???	Pista: completa todas las carreras callejeras para ganarte un vehículo diferente.	
INGAME	MISSION_FAILED_POSITION_HINT7		Hint : Collect coins to purchase a different vehicle.	Conseil : trouvez des pièces pour acheter une autre voiture.	"Tipp: Sammle Münzen, um dir ein anderes Fahrzeug zu kaufen."	???	Pista: reúne monedas para comprarte un vehículo diferente.	
INGAME	MISSION_FAILED_HIT_N_RUN		Hit & Run: You got busted!	Hit & Run : vous avez été arrêté !	Hit & Run: Du wurdest erwischt!	???	Hit & Run: ¡Se te ha estropeado!	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT0		Hint : Don't get caught by the cops	Conseil : ne vous faites pas prendre par la police	Tipp: Lass dich nicht von den Cops fangen!	???	Pista: no dejes que te coja la poli	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT1		Hint : Switching clothes lowers the meter	Conseil : changer de vêtements diminue la jauge	Tipp: Mit anderen Klamotten verringerst du die Anzeige.	???	Pista: el contador baja cuando te cambias de ropa	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT2		Hint : Use wrenches to fix your vehicle	Conseil : utilisez les clés pour réparer le véhicule	Tipp: Reparier dein Auto mit Schraubenschlüsseln!	???	Pista: utiliza la llave inglesa para arreglar tu vehículo	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT3		Hint : Drive more carefully	Conseil : soyez plus prudent	Tipp: Fahr vorsichtiger!	???	Pista: conduce con más cuidado	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT4		Hint : Don't hit pedestrians	Conseil : ne rentrez pas dans les piétons	Tipp: Keine Fußgänger überfahren!	???	Pista: no le des a los peatones	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT5		Hint : Switching clothes lowers the meter	Conseil : changer de vêtements diminue la jauge	Tipp: Mit anderen Klamotten verringerst du die Anzeige.	???	Pista: el contador baja cuando te cambias de ropa	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT6		Hint : Entering interiors lowers the meter	Conseil : entrer à l'intérieur diminue la jauge	Tipp: Das Betreten von Innenräumen verringert die Anzeige.	???	Pista: el contador baja cuando entras en lugares	
INGAME	MISSION_FAILED_HIT_N_RUN_HINT7		Hint : Reckless driving attracts the cops	Conseil : conduire dangereusement attire l'attention de la police	Tipp: Rücksichtsloses Fahren zieht Cops an!	???	Pista: la conducción temeraria atrae a la poli	
INGAME	MISSION_FAILED_GET_COLLECTIBLES		Failed to collect item.	Vous n'avez pas trouvé l'objet.	Gegenstand nicht eingesammelt.	???	No has conseguido coger el artículo.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT0		"Hint : If any items are left behind, you will fail the mission."	"Conseil : si vous ne ramassez pas tous les objets, la mission sera un échec."	"Tipp: Wenn Gegenstände zurückbleiben, schlägt die Mission fehl."	???	"Pista: si te olvidas de algún artículo, fracasarás en la misión."	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT1		Hint : Don't drive too far away from an item while following the vehicle.	Conseil : ne vous éloignez pas trop d'un objet quand vous suivez le véhicule.	Tipp: Fahr bei der Fahrzeug-Verfolgung nah genug an einen Gegenstand heran.	???	Pista: no te alejes demasiado de un artículo cuando sigas al vehículo.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT2		Hint : Keep the vehicle you are following in sight and collect ALL the items.	Conseil : gardez le véhicule que vous suivez en vue et prenez TOUS les objets.	Tipp: Halte Blickkontakt zum verfolgten Fahrzeug und sammle ALLE Gegenstände ein.	???	Pista: no pierdas de vista el vehículo que estás siguiendo y reúne TODOS los artículos.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT3		Hint : Don't leave any items behind while following the vehicle.	Conseil : ramassez tous les objets quand vous suivez le véhicule.	Tipp: Lass bei der Fahrzeug-Verfolgung keine Gegenstände zurück.	???	Pista: no te olvides de ningún artículo cuando sigas al vehículo.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT4		Hint : Don't forget to collect ALL the items.	Conseil : n'oubliez pas de prendre TOUS les objets.	"Tipp: Nicht vergessen, ALLE Gegenstände einzusammeln."	???	Pista: no te olvides de reunir TODOS los artículos.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT5		"Hint : If you drive too far away from an item, you will fail the mission."	"Conseil : si vous allez trop loin d'un objet, la mission sera un échec."	"Tipp: Falls du nicht nah genug an einen Gegenstand heranfährst, schlägt die Mission fehl."	???	"Pista: si te alejas demasiado de un artículo, fracasarás en la misión."	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT6		Hint : ALL items must be collected.	Conseil : vous devez prendre TOUS les objets.	Tipp: ALLE Gegenstände müssen eingesammelt werden.	???	Pista: debes reunir TODOS los artículos.	
INGAME	MISSION_FAILED_GET_COLLECTIBLES_HINT7		Hint : Stay close to the vehicle you are following and collect ALL the items.	Conseil : restez près du véhicule que vous suivez et prenez TOUS les objets.	Tipp: Bleib dicht hinter dem verfolgten Fahrzeug und sammle ALLE Gegenstände ein.	???	Pista: No te alejes del vehículo que estás siguiendo y reúne TODOS los artículos.	
INGAME	CARD_GET		COLLECTOR CARD!	CARTE A COLLECTIONNER	SAMMELKARTE!	???	¡CARTA DE COLECCIONISTA!	
INGAME	CARD_LEVEL_COMPLETE		LEVEL CARDS COLLECTED!	NIVEAU CARTES TERMINE !	LEVEL-KARTEN EINGESAMMELT!	???	¡HAS ENCONTRADO TODAS LAS CARTAS!	
INGAME	CARD_DECK_COMPLETE		CARD DECK COMPLETE!	JEU DE CARTES TERMINE !	KARTENSPIEL VOLLSTÄNDIG!	???	¡HAS COMPLETADO LA BARAJA!	
INGAME	WASPS_COMPLETE		LEVEL WASPS COMPLETE!	NIVEAU GUEPES TERMINE !	LEVEL-WESPEN VOLLSTÄNDIG!	???	¡HAS ENCONTRADO TODAS LAS AVISPAS!	
INGAME	GAGS_COMPLETE		LEVEL GAGS COMPLETE!	NIVEAU GAGS TERMINE !	LEVEL-GAGS VOLLSTÄNDIG!	???	¡HAS ENCONTRADO TODOS LOS GAGS!	
INGAME	MINI_TRACK_UNLOCKED		New bonus game track unlocked!	Nouvelle piste bonus débloquée !	Neue Bonus-Spiel-Strecke freigeschaltet!	???	¡Desbloqueada nueva pista de juego extra!	
INGAME	IS_MOVIE_UNLOCKED		New bonus game track unlocked! Itchy & Scratchy movie ticket unlocked!	Nouvelle piste bonus débloquée ! Film Itchy & Sticky débloqué !	Neue Bonus-Spiel-Strecke freigeschaltet! Itchy-und-Scratchy-Filmticket freigeschaltet!	???	¡Desbloqueada nueva pista de juego extra! ¡Desbloqueada la entrada a la película de Pica y Rasca!	
INGAME	RETRY_MISSION		Retry Mission?	Rejouer la mission ?	Mission wiederholen?	???	¿Reintentar la misión?	
INGAME	STATUS		Status	Etat	Status	???	Estado	
INGAME	FOLLOW_CAM		Follow Cam	Poursuite	Folgen	???	Cámara de seguimiento	
INGAME	NEAR_FOLLOW_CAM		Near Follow Cam	Proche	Dicht	???	Cámara cerca	
INGAME	FAR_FOLLOW_CAM		Far Follow Cam	Lointaine	Entfernt	???	Cámara lejos	
INGAME	BUMPER_CAM		Bumper Cam	Pare-chocs	Stoßstange	???	Cámara frontal	
INGAME	CHASE_CAM		Chase Cam	De chasse	Verfolgung	???	Cámara de persecución	
INGAME	DEBUG_CAM		Debug Cam	Débug	Test	???	Depurar cámara	
INGAME	WRECKLESS_CAM		Spy Cam	Espion	Spionage	???	Cámara espía	
INGAME	WALKER_CAM		Walker Cam	Marcheur	Fußgänger	???	Cámara móvil	
INGAME	KULL_CAM		Kull Cam	A terre	Wurm	???	Cámara rasante	
INGAME	TRACKER_CAM		Tracker Cam	Pisteur	Peilung	???	Cámara rastreadora	
INGAME	RAIL_CAM		Rail Cam	Rail	Schiene	???	Cámara sobre raíles	
INGAME	CONVERSATION_CAM		Conversation Cam	Conversation	Unterhaltung	???	Cámara de conversación	
INGAME	STATIC_CAM		Static Cam	Statique	Statisch	???	Cámara estática	
INGAME	BURNOUT_CAM		Burnout Cam	Accélération	Burnout	???	Cámara de aceleración	
INGAME	REVERSE_CAM		Reverse Cam	Inversée	Rückwärts	???	Cámara inversa	
INGAME	SNAPSHOT_CAM		Snapshot Cam	Capture	Schnappschuss	???	Cámara instantánea	
INGAME	FIRST_PERSON_CAM		First Person Cam	Prem. personne	Direktsicht	???	Cámara primera persona	
INGAME	COMEDY_CAM		Comedy Cam	Comédie	Comedy	???	Cámara comedia	
INGAME	REPAIR_VEHICLE		Repair Vehicle	Réparer le véhicule	Fahrzeug reparieren	???	Reparar vehículo	
INGAME	VEHICLE_DAMAGED		Damaged:	Endommagé :	Schaden:	???	Dañado:	
INGAME	VEHICLE_REPAIR_COST		Cost to Fix:	Réparations :	Reparaturkosten:	???	Coste del arreglo:	
INGAME	VIEW_STATS		Show Stats	Voir les statistiques	Statistik anzeigen	???	Mostrar estadísticas	
INGAME	VIEW_MODEL		Hide Stats	Masquer les statistiques	Statistik ausblenden	???	Ocultar estadísticas	
INGAME	TO_PURCHASE		to purchase	pour acheter	kaufen	???	para comprar	
INGAME	SPEED		SPEED	VITESSE	TEMPO	???	VELOCIDAD	
INGAME	ACCELERATION		ACCELERATION	ACCELERATION	BESCHLEUNIGUNG	???	ACELERACIÓN	
INGAME	TOUGHNESS		TOUGHNESS	RESISTANCE	ROBUSTHEIT	???	RESISTENCIA	
INGAME	STABILITY		HANDLING	COMPORTEMENT	HANDLING	???	MANEJO	
INGAME	ENTRY_FEE		Entry Fee:	Inscription :	Startgebühr:	???	Participar:	
INGAME	TIME_TO_BEAT		Time to Beat:	Temps défi :	Zeitlimit:	???	Tiempo máx.:	
INGAME	VEHICLE_ODDS		Difficulty:	Difficulté :	Niveau:	???	Dificultad:	
INGAME	VEHICLE_ODDS_EASY		Easy	Facile	Leicht	???	Fácil	
INGAME	VEHICLE_ODDS_MEDIUM		Medium	Moyenne	Mittel	???	Media	
INGAME	VEHICLE_ODDS_HARD		Hard	Difficile	Schwer	???	Difícil	
INGAME	PAYOUT		Payout:	Prime :	Prämie:	???	Premio:	
INGAME	BEST_TIME		Best Time:	Record :	Bestzeit:	???	Récord:	
INGAME	DISABLE_TUTORIAL		Disable Tutorials	Désactiver les apprentissages	Tutorials deaktivieren	???	Desactivar tutoriales	
INGAME	MISSION_0		Tutorial Mission:	Mission d'apprentissage :	Tutorial-Mission:	???	Misión de tutorial	
INGAME	MISSION_1		Mission 1	Mission 1	Mission 1	???	Misión 1	
INGAME	MISSION_2		Mission 2	Mission 2	Mission 2	???	Misión 2	
INGAME	MISSION_3		Mission 3	Mission 3	Mission 3	???	Misión 3	
INGAME	MISSION_4		Mission 4	Mission 4	Mission 4	???	Misión 4	
INGAME	MISSION_5		Mission 5	Mission 5	Mission 5	???	Misión 5	
INGAME	MISSION_6		Mission 6	Mission 6	Mission 6	???	Misión 6	
INGAME	MISSION_7		Mission 7	Mission 7	Mission 7	???	Misión 7	
INGAME	MISSION_8		Street Race:	Course de rue :	Straßenrennen:	???	Carrera callejera:	
INGAME	MISSION_9		Street Race:	Course de rue :	Straßenrennen:	???	Carrera callejera:	
INGAME	MISSION_10		Street Race:	Course de rue :	Straßenrennen:	???	Carrera callejera:	
INGAME	MISSION_11		Wager Race:	Défi :	Wettrennen:	???	Carrera de apuestas:	
INGAME	MISSION_12		Bonus Mission	Mission bonus	Bonus-Mission	???	Misión extra:	
INGAME	MISSION_TITLE_L1_M0		The Cola Caper	Le farceur	Der Cola-Coup	???	La cola saltarina	
INGAME	MISSION_INFO_L1_M0		GO TO THE KWIK-E-MART AND PURCHASE SOME ICE CREAM AND COLA.	ALLEZ AU KWIK-E-MART ET ACHETEZ DE LA GLACE ET DU COLA.	GEH ZUM KWIK-E-MART UND KAUF EISCREME UND COLA.	???	VE AL BADULAQUE A COMPRAR HELADO Y COLA.	
INGAME	MISSION_TITLE_L1_M1		S-M-R-T	G-N-I-A-L	R-A-F-N-I-R-T	???	L-S-T-O	
INGAME	MISSION_INFO_L1_M1		RACE PRINCIPAL SKINNER TO THE SCHOOL AND GIVE LISA HER SCIENCE PROJECT.	ARRIVEZ A L'ECOLE AVANT LE PRINCIPAL SKINNER ET DONNEZ A LISA SON PROJET SCIENTIFIQUE.	SEI SCHNELLER ALS REKTOR SKINNER IN DER SCHULE UND GIB LISA IHR SCHULPROJEKT.	???	ECHA UNA CARRERA HASTA LA ESCUELA CON EL DIRECTOR SKINNER Y DALE A LISA SU PROYECTO DE CIENCIAS.	
INGAME	MISSION_TITLE_L1_M2		Petty Theft Homer	Le larcin d'Homer	Der Kleinkriminelle Homer	???	Homer el ladronzuelo	
INGAME	MISSION_INFO_L1_M2		"COLLECT ALL 6 OF NED'S ""LOST"" ITEMS BEFORE TIME RUNS OUT!"	"TROUVEZ LES 6 OBJETS ""PERDUS"" DE NED AVANT LA FIN DU TEMPS IMPARTI !"	"SAMMLE ALLE 6 ""VERLORENEN"" SACHEN VON NED, EHE DIE ZEIT ABGELAUFEN IST."	???	"¡REÚNE LOS 6 ARTÍCULOS ""PERDIDOS"" DE NED ANTES DE QUE SE ACABE EL TIEMPO!"	
INGAME	MISSION_TITLE_L1_M3		Office Spaced	Bureaux séparés	Büro gesperrt	???	En la oficina	
INGAME	MISSION_INFO_L1_M3		DESTROY SMITHERS' CAR BEFORE HE GETS TO THE POWER PLANT.	EMPECHEZ SMITHERS D'ARRIVER A LA CENTRALE EN DETRUISANT SA VOITURE.	"ZERSTÖR SMITHERS' AUTO, EHE ER DAS ATOMKRAFTWERK ERREICHT."	???	DESTRUYE EL COCHE DEL SEÑOR SMITHERS ANTES DE QUE LLEGUE A LA CENTRAL NUCLEAR.	
INGAME	MISSION_TITLE_L1_M4		Blind Big Brother	Aveugler Big Brother	Blinder Big Brother	???	Ciega al Gran Hermano	
INGAME	MISSION_INFO_L1_M4		DESTROY ALL THE POWER COUPLINGS BEFORE TIME RUNS OUT!	DETRUISEZ TOUS LES RELAIS ELECTRIQUES AVANT LA FIN DU TEMPS IMPARTI !	"ZERSTÖR ALLE ENERGIEKOPPLUNGEN, EHE DIE ZEIT ABGELAUFEN IST."	???	¡DESTRUYE TODOS LOS ACOPLAMIENTOS ELÉCTRICOS ANTES DE QUE SE ACABE EL TIEMPO!	
INGAME	MISSION_TITLE_L1_M5		Flowers By Irene	Les fleurs d'Irène	Blumen von Irene	???	Flores por Irene	
INGAME	MISSION_INFO_L1_M5		INVESTIGATE AND FOLLOW THE BLACK VAN. DON'T LET IT GET AWAY! 	ENQUETEZ ET SUIVEZ LE VAN NOIR. NE LE LAISSEZ PAS FILER !	UNTERSUCH DEN SCHWARZEN VAN UND FOLG IHM. LASS IHN NICHT ENTKOMMEN! 	???	INVESTIGA Y SIGUE A LA FURGONETA NEGRA. ¡QUE NO SE ESCAPE!	
